IMR,DISTRICT,FD,STATE,FS,POPULATION,BCG,DPT_1,DPT_2,DPT_3,PENTA_1,PENTA_2,PENTA_3,OPV_0,OPV_1,OPV_2,OPV_3,HEP_B0,HEP_B1,HEP_B2,HEP_B3,MEAS_1,MEAS_2,JE_1,M_FI_9_11,F_FI_9_11,T_FI_9_11,DPT_1B,OPV_B,MMR_V,DPT5_2B,TT_10,TT_16,AEFI_A,AEFI_D,AEFI_O,IS_P,IS_H,IS_ASHA,JE_16M,dropout_gap_percent,asha_efficiency_ratio,IMR_TARGET,IMR_TARGET_NUM
HIGH,Lohit,NPD,ARUNACHAL PRADESH,HF,145538,2602.0,1169,1117,1072,1467,1258,1118,1562,2559,2306,2135,1097.5,1041,991,952,1573,1327,946,960,842,1802,1343,1377,24,429,333,313,0,0,1,963,923,754,1177,30.74558032282859,5.180777528892798,HIGH,1
HIGH,Lower Dibang Valley,PD,ARUNACHAL PRADESH,HF,53986,856.5,387,362,348,476,441,428,641,890,818,756,411.5,379,359,349,558,383,1,372,344,716,567,584,11,95,103,80,0,0,38,421,397,354,0,16.40396964389959,6.55725558478124,HIGH,1
HIGH,Lower Subansiri,PD,ARUNACHAL PRADESH,HF,82839,639.75,386,390,389,475,446,417,489,869,829,815,427.25,399,384,379,653,619,10,345,339,685,685,710,29,212,141,124,0,0,0,536,524,298,0,0.0,3.59733941742416,HIGH,1
HIGH,Papum Pare,NPD,ARUNACHAL PRADESH,HF,176385,4909.25,1660,1654,1431,2013,1707,1611,5370,3440,3045,2805,3214.5,2506,2212,1977,2628,1614,899,1668,1727,3395,2242,2202,36,790,728,610,3,0,0,1542,1479,400,1416,30.844833732240158,2.267766533435383,HIGH,1
HIGH,Tawang,PD,ARUNACHAL PRADESH,HF,49950,673.75,298,306,317,403,377,348,317,706,683,663,236.0,303,317,323,544,508,0,320,307,627,565,589,3,280,96,54,0,0,0,299,279,88,0,6.938775510204081,1.7617617617617616,HIGH,1
HIGH,Tirap,NPD,ARUNACHAL PRADESH,HF,111997,1512.75,810,798,787,966,847,729,641,1662,1559,1449,517.25,757,890,864,978,1533,4,620,570,1191,1044,1032,18,417,301,196,0,0,0,1027,913,292,0,21.269211700545366,2.6072126931971393,HIGH,1
HIGH,Upper Siang,PD,ARUNACHAL PRADESH,HF,35289,377.75,385,223,236,375,266,251,347,471,474,476,242.5,241,237,246,385,260,1,276,237,514,361,354,9,131,130,154,0,0,0,535,458,390,0,0.0,11.051602482359943,HIGH,1
HIGH,Upper Subansiri,PD,ARUNACHAL PRADESH,HF,83205,944.25,533,547,557,503,478,430,548,941,928,899,179.5,513,539,531,889,602,3,467,446,913,738,729,24,40,323,380,2,0,0,543,508,461,1,3.309504898067249,5.540532419926687,HIGH,1
HIGH,West Kameng,NPD,ARUNACHAL PRADESH,HF,87013,1165.75,668,627,589,690,646,582,910,1260,1184,1084,422.5,617,585,592,947,725,4,596,582,1179,861,859,25,182,283,372,0,0,0,504,469,450,0,0.0,5.171641019158057,HIGH,1
HIGH,West Siang,NPD,ARUNACHAL PRADESH,HF,112272,1391.75,658,667,661,864,796,724,547,1476,1443,1373,281.0,629,640,638,1061,1002,3,646,617,1263,1045,1044,4,391,282,263,0,0,0,443,411,381,0,9.250943057301958,3.39354424967935,HIGH,1
HIGH,Baksa,NPD,Assam,HF,953773,13657.75,3798,4210,4446,11876,11359,10765,4826,15205,15134,14933,2768.5,3754,4122,4350,11316,13181,5492,7630,7112,14742,13704,13888,7,6791,4088,2706,11,0,650,9640,9471,9389,8035,0.0,9.844061427614328,HIGH,1
HIGH,Barpeta,NPD,Assam,HF,1693190,38283.5,8660,9704,10466,30353,28603,27337,13321,36257,35770,35260,11545.25,8267,9287,9905,28835,27995,25018,18555,17061,35616,30730,29929,0,12472,10779,8529,27,0,191,16090,15773,15671,23164,6.967753732025546,9.255310981047609,HIGH,1
HIGH,Bongaigaon,NPD,Assam,HF,732639,16193.75,3688,4093,4447,11367,10659,9921,4060,14776,14470,14100,2898.5,3486,3916,4308,10809,12168,5468,7287,6950,14237,12758,12740,0,4527,2592,1463,0,0,6,7747,7586,6922,7112,12.083365495947511,9.448036481814373,HIGH,1
HIGH,Cachar,NPD,Assam,HF,1736319,42848.25,9344,10406,11166,28848,27531,26304,20030,35588,35408,35145,16067.5,8193,9109,9640,28672,32365,14776,19112,18105,37217,33709,32469,190,20352,19796,15255,0,0,0,19232,18743,18284,19752,13.1423103627336,10.530323056995861,HIGH,1
HIGH,Chirang,NPD,Assam,HF,481818,9077.25,2143,2376,2563,7160,6800,6331,2736,8644,8595,8397,1240.0,2130,2383,2583,6873,7498,3697,4468,4310,8779,7607,7530,0,3291,1978,1498,0,0,0,5713,5506,5451,4611,3.2856867443333613,11.31340049562283,HIGH,1
HIGH,Darrang,NPD,Assam,HF,908090,18140.25,4303,4878,5294,15584,14813,14167,9889,19140,18951,18692,9658.75,4269,4841,5256,14843,17296,12899,10150,9259,19410,17790,17370,0,9651,7584,6587,31,0,989,10545,10250,9677,12438,0.0,10.656432732438414,HIGH,1
HIGH,Dhemaji,NPD,Assam,HF,688077,14264.0,3013,3452,3693,10500,10174,9651,7760,13068,13219,13034,8074.5,3028,3444,3722,10489,11609,9871,6841,6555,13397,12261,12105,31,4883,3215,1989,24,0,166,8132,7884,7746,10931,6.078238923163208,11.257461010904303,HIGH,1
HIGH,Dhubri,PD,Assam,HF,1948632,52432.0,11143,13045,13632,37820,35354,33218,15841,48758,47867,46361,12453.0,11387,12694,13123,35193,31249,8896,23826,21792,45618,32166,33199,7,10914,9280,7086,0,0,16,18901,18104,17345,12048,12.995880378394872,8.901116270286026,HIGH,1
HIGH,Dibrugarh,NPD,Assam,HF,1327748,23597.5,5089,5485,5855,16072,15420,14720,16229,19955,19877,19585,12965.0,4919,5393,5834,16141,18899,14847,10792,10106,20898,19521,19403,506,13560,8543,4222,0,0,2,12006,11913,11777,17672,11.439771162199385,8.869906036386421,HIGH,1
HIGH,Dima Hasao (North Cachar Hills),NPD,Assam,HF,213529,3168.25,971,1072,1158,3305,3048,2839,2771,4269,4118,3996,2156.5,968,1073,1155,2923,3284,1763,1887,1887,3774,3148,3304,0,1223,1272,1104,2,0,261,4653,4408,4066,1818,0.0,19.04190999817355,HIGH,1
HIGH,Goalpara,NPD,Assam,HF,1008959,25371.75,5394,6213,6745,19094,17872,16850,9474,23367,22971,22564,8129.5,5431,6186,6629,17782,19105,14835,11816,11028,22844,20375,19830,31,7249,5387,3954,0,0,0,11238,10759,10359,15331,9.962852385034536,10.26701778764053,HIGH,1
HIGH,Golaghat,PD,Assam,HF,1058674,17785.75,4124,4489,4635,13872,13165,12557,10002,17524,17196,16667,9216.75,4118,4486,4614,12914,15401,10754,8638,8117,16756,15572,15494,9,8732,6820,4652,0,0,0,14116,14029,13720,14188,5.789747410145763,12.959607962413358,HIGH,1
